date,value
2020-12-18 00:00:00,28.995676296984087
2020-12-21 00:00:00,25.544064063201382
2020-12-22 00:00:00,36.30739696289779
2020-12-23 00:00:00,33.78382372855188
2020-12-24 00:00:00,23.720883142632697
2020-12-28 00:00:00,25.082910860047082
2020-12-29 00:00:00,25.222355674041864
2020-12-30 00:00:00,23.55658371537217
2020-12-31 00:00:00,24.05249853326799
2021-01-04 00:00:00,25.618349935361863
2021-01-05 00:00:00,23.07006400784644
2021-01-06 00:00:00,23.617609356748837
2021-01-07 00:00:00,23.65424823179766
2021-01-08 00:00:00,23.831154078640083
2021-01-11 00:00:00,28.124643174543294
2021-01-12 00:00:00,24.121878863895514
2021-01-13 00:00:00,83.0869862785091
2021-01-14 00:00:00,66.67321265583335
2021-01-15 00:00:00,44.752147483374316
2021-01-19 00:00:00,58.437969230510475
2021-01-20 00:00:00,37.7836118769059
2021-01-21 00:00:00,49.94075011639017
2021-01-22 00:00:00,92.5995164424109
2021-01-25 00:00:00,89.81810571352162
2021-01-26 00:00:00,89.93384595640973
2021-01-27 00:00:00,66.54323342287712
2021-01-28 00:00:00,50.80615243666833
2021-01-29 00:00:00,46.492107438276065
2021-02-01 00:00:00,39.82877148811872
2021-02-02 00:00:00,60.016242066681514
2021-02-03 00:00:00,42.597397173856706
2021-02-04 00:00:00,52.58812074005262
2021-02-05 00:00:00,61.225867175936145
2021-02-08 00:00:00,33.709091297467936
2021-02-09 00:00:00,34.31333861860856
2021-02-10 00:00:00,39.34429971205049
2021-02-11 00:00:00,27.1346076045198
2021-02-12 00:00:00,27.90390065687524
2021-02-16 00:00:00,24.68324820892949
2021-02-17 00:00:00,25.194712575575124
2021-02-18 00:00:00,32.82307434914366
2021-02-19 00:00:00,28.073547046105944
2021-02-22 00:00:00,30.473890082140574
2021-02-23 00:00:00,24.375785661153095
2021-02-24 00:00:00,62.206020213465976
2021-02-25 00:00:00,84.46151275198412
2021-02-26 00:00:00,65.95819963586712
2021-03-01 00:00:00,46.15378950406182
2021-03-02 00:00:00,37.87187409519781
2021-03-03 00:00:00,30.317132973924934
2021-03-04 00:00:00,37.2609720061658
2021-03-05 00:00:00,36.31132411218117
2021-03-08 00:00:00,53.07565248467832
2021-03-09 00:00:00,40.53011564529994
2021-03-10 00:00:00,56.8755483797081
2021-03-11 00:00:00,35.015929715117984
2021-03-12 00:00:00,33.74744985257929
2021-03-15 00:00:00,32.88036944950818
2021-03-16 00:00:00,38.709956032297
2021-03-17 00:00:00,28.810256223127453
2021-03-18 00:00:00,26.504933585311754
2021-03-19 00:00:00,33.11613885846823
2021-03-22 00:00:00,25.63814925692415
2021-03-23 00:00:00,27.86851850874747
2021-03-24 00:00:00,32.92081569817296
2021-03-25 00:00:00,46.850838376123846
2021-03-26 00:00:00,39.823391982402335
2021-03-29 00:00:00,25.628351876488217
2021-03-30 00:00:00,29.241441774514783
2021-03-31 00:00:00,24.79371196051589
